iter	RMSE
0	3732.017672
1	3506.021762
2	3298.930241
3	3102.655174
4	2927.503887
5	2761.872233
6	2610.434872
7	2471.352387
8	2349.187689
9	2232.26624
10	2120.878472
11	2020.778273
12	1926.033121
13	1837.931466
14	1761.56407
15	1685.215042
16	1618.313725
17	1557.24141
18	1499.815049
19	1446.883527
20	1397.299423
21	1355.89035
22	1315.160873
23	1278.307787
24	1241.410333
25	1204.742558
26	1176.058655
27	1149.724493
28	1123.070551
29	1099.519514
30	1077.239569
31	1053.033128
32	1034.310746
33	1015.795107
34	995.1668243
35	980.2888252
36	966.233265
37	950.2413496
38	938.8385781
39	926.7924084
40	913.4107329
41	901.9860358
42	888.0104461
43	876.6297749
44	868.0718731
45	856.9266244
46	849.9580436
47	841.277856
48	834.02215
49	827.3141779
50	818.0093766
51	810.7849261
52	803.685106
53	796.7998044
54	789.1987601
55	783.6058278
56	777.4772555
57	771.2776507
58	767.3011181
59	761.4306678
60	757.9765529
61	753.625385
62	749.473071
63	745.2507501
64	741.6064108
65	737.9280356
66	733.8887073
67	730.6250158
68	726.4732209
69	722.2828097
70	719.0522955
71	716.9197768
72	713.7667491
73	711.5263581
74	707.2259869
75	702.7062572
76	699.0285329
77	696.929442
78	693.3371311
79	690.6718791
80	687.2443495
81	682.8754758
82	680.1993929
83	677.9059306
84	676.4919101
85	674.3879862
86	670.8699967
87	668.7253878
88	665.396108
89	662.967605
90	661.9375057
91	658.8847764
92	657.5135433
93	655.9928269
94	654.3583345
95	652.4672003
96	650.5570905
97	648.4614252
98	646.9731875
99	645.5939745
100	644.3591902
101	642.8080181
102	642.0014036
103	640.3314887
104	638.9974813
105	638.2889679
106	637.2287534
107	635.7878941
108	634.7890871
109	633.5187227
110	631.8496055
111	631.2332072
112	629.3420629
113	628.4114864
114	627.2752651
115	625.9951072
116	623.7914583
117	622.6317351
118	621.0019725
119	619.8391349
120	619.0259597
121	618.0702357
122	616.5881104
123	614.9192377
124	613.1659059
125	611.84809
126	611.1785314
127	610.1901342
128	609.145697
129	608.2662238
130	607.1920828
131	606.2344844
132	605.7544644
133	604.6741399
134	603.9347275
135	603.1261152
136	602.5081246
137	602.1081738
138	600.7184448
139	599.9880894
140	599.4696302
141	598.5283982
142	597.6045103
143	597.0579296
144	596.0011003
145	595.3867272
146	594.8217769
147	594.0914908
148	593.7985043
149	593.1211314
150	592.8571185
151	591.4613787
152	590.6879138
153	589.7367794
154	588.9730046
155	588.5042361
156	587.8926644
157	587.0174835
158	586.4900823
159	585.9006095
160	585.1702824
161	584.5723854
162	583.7694222
163	583.0012764
164	581.6544159
165	581.1526116
166	580.4880602
167	580.1478259
168	579.9172442
169	579.3814861
170	578.565232
171	578.066157
172	577.7052262
173	576.6047218
174	575.9375375
175	575.3584481
176	574.865909
177	574.0855305
178	573.70231
179	573.3425577
180	572.8251524
181	572.2043573
182	571.492703
183	570.7934297
184	570.3799332
185	570.1230245
186	569.8079276
187	569.1872297
188	568.815463
189	567.9252454
190	567.5650035
191	567.2128419
192	566.7505983
193	566.3007184
194	565.9402646
195	565.6019465
196	564.9546292
197	564.4453635
198	563.9592426
199	563.6809028
200	563.1686748
201	562.7855503
202	562.2515819
203	561.942428
204	561.6306027
205	561.2471031
206	560.7083406
207	560.2065104
208	559.9159167
209	559.3393427
210	559.025217
211	558.4424222
212	558.2194847
213	557.706407
214	557.2119063
215	556.6978815
216	556.3952028
217	555.9707446
218	555.511007
219	555.1984019
220	554.6627867
221	554.390561
222	554.01733
223	553.5844925
224	553.2661641
225	552.9318137
226	552.5776499
227	552.3746675
228	552.0204885
229	551.6820526
230	551.4588148
231	551.104633
232	550.7667216
233	550.5753804
234	549.234852
235	548.8836375
236	548.6125767
237	548.1532984
238	547.8377992
239	547.4770643
240	546.9587848
241	546.1135304
242	545.7674494
243	545.4723868
244	545.1404109
245	544.6206104
246	544.2116757
247	543.7796196
248	543.5114282
249	543.2446367
250	542.9646781
251	542.5906633
252	542.1249167
253	541.5374415
254	541.0194655
255	540.8241366
256	540.4429133
257	540.191821
258	539.9768843
259	539.5413504
260	539.2024428
261	538.8564004
262	538.644768
263	538.3996047
264	538.0011082
265	537.6732432
266	537.4180708
267	537.1687482
268	536.9545107
269	536.5982578
270	536.4274578
271	536.1673398
272	535.7294402
273	535.4563653
274	535.1604944
275	534.9402868
276	534.5570156
277	534.2854718
278	534.1097388
279	533.9537131
280	533.7727853
281	533.6298901
282	533.3715305
283	532.9012325
284	532.7075176
285	532.412619
286	531.6727652
287	531.4586439
288	531.050431
289	530.7930868
290	530.5013852
291	530.2132594
292	530.1009747
293	529.882181
294	529.6204802
295	529.3560203
296	529.1923273
297	528.7899504
298	528.498091
299	528.0178695
300	527.8304147
301	527.4471092
302	527.3093318
303	527.0164037
304	526.7511342
305	526.5588996
306	526.3084102
307	526.2396531
308	526.1087496
309	525.8440373
310	525.616482
311	525.5396374
312	525.3258642
313	525.0563614
314	524.8307801
315	524.6059363
316	524.409672
317	524.0759242
318	523.8700175
319	523.6588547
320	523.334357
321	523.1574115
322	523.0830303
323	522.8422645
324	522.5695898
325	522.4259571
326	522.1583161
327	521.838849
328	521.519806
329	521.313156
330	521.1033111
331	520.7901622
332	520.5984908
333	520.4586042
334	520.2340253
335	520.2017669
336	520.1488169
337	520.0041724
338	519.6897106
339	519.4459793
340	519.2050979
341	518.8780968
342	518.6048809
343	518.5314285
344	518.4637494
345	518.2065102
346	517.8864541
347	517.8233116
348	517.7948487
349	517.484466
350	517.4775256
351	517.2398307
352	516.9514443
353	516.896709
354	516.7714776
355	516.7497981
356	516.5395772
357	516.4072625
358	516.3421867
359	516.1577306
360	515.922531
361	515.7886733
362	515.6855599
363	515.4539881
364	515.2713317
365	515.2395982
366	515.1059659
367	515.1012603
368	514.9723467
369	514.9674998
370	514.74872
371	514.548886
372	514.5024947
373	514.277984
374	513.9861122
375	513.9294532
376	513.8063621
377	513.6600924
378	513.4666009
379	513.4003453
380	513.074605
381	512.7334572
382	512.5715903
383	512.3965714
384	512.3122511
385	512.0349433
386	511.8776188
387	511.8569492
388	511.8298901
389	511.5861825
390	511.385552
391	511.3819013
392	511.1276161
393	510.9697111
394	510.7074104
395	510.6147584
396	510.3638439
397	510.2041155
398	509.9408493
399	509.6572685
400	509.4760634
401	509.4732854
402	509.2359992
403	508.9253499
404	508.9135175
405	508.7260072
406	508.5144512
407	508.2312457
408	508.0307894
409	507.8076566
410	507.4980228
411	507.2270726
412	507.0504966
413	507.0470977
414	506.9056736
415	506.7278367
416	506.4549768
417	506.2966935
418	506.1283639
419	505.9790237
420	505.9623481
421	505.7954382
422	505.7042009
423	505.5793415
424	505.5642497
425	505.2642102
426	504.9503369
427	504.7009546
428	504.5150891
429	504.2707384
430	504.1230335
431	503.8713456
432	503.7721779
433	503.4993877
434	503.4799983
435	503.2237551
436	502.8629357
437	502.727516
438	502.4860217
439	502.2440022
440	502.0500916
441	501.8163922
442	501.5567376
443	501.3298635
444	501.0939822
445	500.9763187
446	500.9728893
447	500.5382562
448	500.5347943
449	500.491278
450	500.4087018
451	500.2051471
452	500.0355601
453	499.8836313
454	499.8491156
455	499.6121397
456	499.4475709
457	499.2130275
458	499.0116725
459	498.8067387
460	498.6055776
461	498.5452439
462	498.3289137
463	498.2172364
464	498.0119248
465	497.825014
466	497.6764976
467	497.4944662
468	497.4835893
469	497.3829207
470	497.2830335
471	497.2802089
472	497.1220549
473	497.0920345
474	496.9488739
475	496.8443037
476	496.5887139
477	496.3698083
478	496.1560047
479	496.0260015
480	495.9793806
481	495.7801311
482	495.4654359
483	495.3394896
484	495.3260686
485	495.0965221
486	494.9283944
487	494.8815627
488	494.6804478
489	494.4018553
490	494.1689382
491	494.0709474
492	494.0486852
493	493.8950928
494	493.8524835
495	493.776011
496	493.6897394
497	493.6347751
498	493.4499943
499	493.3074041
500	493.2150058
501	493.075042
502	492.8672892
503	492.6771664
504	492.487656
505	492.2832565
506	492.1044841
507	491.9328636
508	491.8965372
509	491.6086905
510	491.4894615
511	491.4260875
512	491.4010426
513	491.1862086
514	491.0278806
515	490.8450187
516	490.5740531
517	490.4232312
518	490.246867
519	490.1324507
520	490.0907883
521	490.0215762
522	489.9907567
523	489.8139925
524	489.7758544
525	489.6401565
526	489.390953
527	489.2503203
528	489.0472714
529	488.7876393
530	488.6372407
531	488.6123513
532	488.4622632
533	488.32629
534	488.1690058
535	488.0756467
536	488.0380104
537	487.9691867
538	487.8032174
539	487.6215037
540	487.3538721
541	487.2197289
542	487.0620783
543	486.9526889
544	486.8980697
545	486.8751426
546	486.7065002
547	486.5771756
548	486.5462908
549	486.4815492
550	486.3191027
551	486.2217097
552	486.122444
553	485.9066133
554	485.8710046
555	485.7639128
556	485.7242651
557	485.6339621
558	485.5761891
559	485.4118759
560	485.3772361
561	485.1497529
562	485.0916115
563	484.9503574
564	484.8406017
565	484.8102174
566	484.7659808
567	484.6384347
568	484.6121461
569	484.5889615
570	484.500288
571	484.3794435
572	484.3527881
573	484.2213486
574	484.1052386
575	483.8912274
576	483.6903688
577	483.4420762
578	483.2685885
579	483.1285376
580	482.9545694
581	482.7428841
582	482.6966567
583	482.5295385
584	482.3825721
585	482.2386787
586	482.1344457
587	482.0619645
588	481.8761748
589	481.8551573
590	481.7182307
591	481.5462385
592	481.4795694
593	481.3346726
594	481.168707
595	481.1088596
596	481.0377945
597	480.9037951
598	480.8153917
599	480.7569775
600	480.6096649
601	480.558165
602	480.4773621
603	480.3238231
604	480.270308
605	480.2443866
606	480.0878069
607	479.933357
608	479.7539972
609	479.6290441
610	479.539274
611	479.2728858
612	479.1481093
613	479.0705052
614	478.9930397
615	478.7532049
616	478.5232853
617	478.461659
618	478.4250087
619	478.3079832
620	478.1467747
621	478.0241522
622	477.9349994
623	477.8450881
624	477.6041798
625	477.3975306
626	477.2588685
627	477.1467105
628	476.9492567
629	476.7963047
630	476.6616478
631	476.5338429
632	476.3265225
633	476.1461803
634	476.0119924
635	475.9868094
636	475.8602371
637	475.786635
638	475.7660643
639	475.6757605
640	475.5779445
641	475.4751391
642	475.2918392
643	475.1272942
644	474.9821225
645	474.9246526
646	474.8306286
647	474.7391148
648	474.6713569
649	474.5063925
650	474.3552305
651	474.2077776
652	474.0615088
653	473.832512
654	473.752846
655	473.7155613
656	473.6551564
657	473.5080602
658	473.3269876
659	473.185795
660	473.0324044
661	472.8696574
662	472.7370477
663	472.5804303
664	472.4084458
665	472.235603
666	472.0756719
667	471.8826107
668	471.8463393
669	471.7188416
670	471.6212548
671	471.5429063
672	471.3547255
673	471.3479418
674	471.2448155
675	471.0357529
676	470.8423141
677	470.7506002
678	470.6540096
679	470.6476096
680	470.5094944
681	470.3753808
682	470.3328078
683	470.2921474
684	470.1689638
685	470.0339185
686	469.9228171
687	469.8495486
